#Gen	 aveScore	 maxScore	  minScore	 devScore	 divScore	 numeval
0	6.0001	6.0001	6.0001	0	0	0
1	8.0001	8.0001	8.0001	0	0	4
2	8.0001	8.0001	8.0001	0	0	7
3	10.0001	10.0001	10.0001	0	0	10
4	12.0001	12.0001	12.0001	0	0	13
5	12.0001	12.0001	12.0001	0	0	16
6	14.0001	14.0001	14.0001	0	0	19
7	14.0001	14.0001	14.0001	0	0	22
8	14.0001	14.0001	14.0001	0	0	25
9	14.0001	14.0001	14.0001	0	0	28
10	14.0001	14.0001	14.0001	0	0	31
11	14.0001	14.0001	14.0001	0	0	34
12	16.0001	16.0001	16.0001	0	0	37
13	16.0001	16.0001	16.0001	0	0	40
14	16.0001	16.0001	16.0001	0	0	43
15	16.0001	16.0001	16.0001	0	0	46
16	16.0001	16.0001	16.0001	0	0	49
17	16.0001	16.0001	16.0001	0	0	52
18	16.0001	16.0001	16.0001	0	0	55
19	16.0001	16.0001	16.0001	0	0	58
20	16.0001	16.0001	16.0001	0	0	61
21	16.0001	16.0001	16.0001	0	0	64
22	16.0001	16.0001	16.0001	0	0	67
23	16.0001	16.0001	16.0001	0	0	70
24	16.0001	16.0001	16.0001	0	0	73
25	16.0001	16.0001	16.0001	0	0	76
26	16.0001	16.0001	16.0001	0	0	79
27	16.0001	16.0001	16.0001	0	0	82
28	16.0001	16.0001	16.0001	0	0	85
29	16.0001	16.0001	16.0001	0	0	88
30	16.0001	16.0001	16.0001	0	0	91
31	16.0001	16.0001	16.0001	0	0	94
32	18.0001	18.0001	18.0001	0	0	97
33	18.0001	18.0001	18.0001	0	0	100
34	18.0001	18.0001	18.0001	0	0	103
35	18.0001	18.0001	18.0001	0	0	106
36	18.0001	18.0001	18.0001	0	0	109
37	18.0001	18.0001	18.0001	0	0	112
38	18.0001	18.0001	18.0001	0	0	115
39	18.0001	18.0001	18.0001	0	0	118
40	18.0001	18.0001	18.0001	0	0	121
41	18.0001	18.0001	18.0001	0	0	124
42	18.0001	18.0001	18.0001	0	0	127
43	18.0001	18.0001	18.0001	0	0	130
44	18.0001	18.0001	18.0001	0	0	133
45	18.0001	18.0001	18.0001	0	0	136
46	18.0001	18.0001	18.0001	0	0	139
47	18.0001	18.0001	18.0001	0	0	142
48	18.0001	18.0001	18.0001	0	0	145
49	18.0001	18.0001	18.0001	0	0	148
50	18.0001	18.0001	18.0001	0	0	151
51	18.0001	18.0001	18.0001	0	0	154
52	18.0001	18.0001	18.0001	0	0	157
53	18.0001	18.0001	18.0001	0	0	160
54	18.0001	18.0001	18.0001	0	0	163
55	18.0001	18.0001	18.0001	0	0	166
56	18.0001	18.0001	18.0001	0	0	169
57	18.0001	18.0001	18.0001	0	0	172
58	18.0001	18.0001	18.0001	0	0	175
59	18.0001	18.0001	18.0001	0	0	178
60	18.0001	18.0001	18.0001	0	0	181
61	18.0001	18.0001	18.0001	0	0	184
62	18.0001	18.0001	18.0001	0	0	187
63	18.0001	18.0001	18.0001	0	0	190
64	18.0001	18.0001	18.0001	0	0	193
65	18.0001	18.0001	18.0001	0	0	196
66	18.0001	18.0001	18.0001	0	0	199
67	18.0001	18.0001	18.0001	0	0	202
68	18.0001	18.0001	18.0001	0	0	205
69	18.0001	18.0001	18.0001	0	0	208
70	18.0001	18.0001	18.0001	0	0	211
71	18.0001	18.0001	18.0001	0	0	214
72	18.0001	18.0001	18.0001	0	0	217
73	18.0001	18.0001	18.0001	0	0	220
74	18.0001	18.0001	18.0001	0	0	223
75	18.0001	18.0001	18.0001	0	0	226
76	18.0001	18.0001	18.0001	0	0	229
77	18.0001	18.0001	18.0001	0	0	232
78	18.0001	18.0001	18.0001	0	0	235
79	18.0001	18.0001	18.0001	0	0	238
80	18.0001	18.0001	18.0001	0	0	241
81	18.0001	18.0001	18.0001	0	0	244
82	18.0001	18.0001	18.0001	0	0	247
83	18.0001	18.0001	18.0001	0	0	250
84	18.0001	18.0001	18.0001	0	0	253
85	18.0001	18.0001	18.0001	0	0	256
86	18.0001	18.0001	18.0001	0	0	259
87	18.0001	18.0001	18.0001	0	0	262
88	18.0001	18.0001	18.0001	0	0	265
89	18.0001	18.0001	18.0001	0	0	268
90	18.0001	18.0001	18.0001	0	0	271
91	18.0001	18.0001	18.0001	0	0	274
92	18.0001	18.0001	18.0001	0	0	277
93	18.0001	18.0001	18.0001	0	0	280
94	18.0001	18.0001	18.0001	0	0	283
95	18.0001	18.0001	18.0001	0	0	286
96	18.0001	18.0001	18.0001	0	0	289
97	18.0001	18.0001	18.0001	0	0	292
98	18.0001	18.0001	18.0001	0	0	295
99	18.0001	18.0001	18.0001	0	0	298
100	18.0001	18.0001	18.0001	0	0	301
101	18.0001	18.0001	18.0001	0	0	304
102	18.0001	18.0001	18.0001	0	0	307
103	18.0001	18.0001	18.0001	0	0	310
104	18.0001	18.0001	18.0001	0	0	313
105	18.0001	18.0001	18.0001	0	0	316
106	18.0001	18.0001	18.0001	0	0	319
107	18.0001	18.0001	18.0001	0	0	322
108	18.0001	18.0001	18.0001	0	0	325
109	18.0001	18.0001	18.0001	0	0	328
110	18.0001	18.0001	18.0001	0	0	331
111	18.0001	18.0001	18.0001	0	0	334
112	18.0001	18.0001	18.0001	0	0	337
113	18.0001	18.0001	18.0001	0	0	340
114	18.0001	18.0001	18.0001	0	0	343
115	18.0001	18.0001	18.0001	0	0	346
116	18.0001	18.0001	18.0001	0	0	349
117	18.0001	18.0001	18.0001	0	0	352
118	18.0001	18.0001	18.0001	0	0	355
119	18.0001	18.0001	18.0001	0	0	358
120	18.0001	18.0001	18.0001	0	0	361
121	18.0001	18.0001	18.0001	0	0	364
122	18.0001	18.0001	18.0001	0	0	367
123	18.0001	18.0001	18.0001	0	0	370
124	18.0001	18.0001	18.0001	0	0	373
125	18.0001	18.0001	18.0001	0	0	376
126	18.0001	18.0001	18.0001	0	0	379
127	18.0001	18.0001	18.0001	0	0	382
128	18.0001	18.0001	18.0001	0	0	385
129	18.0001	18.0001	18.0001	0	0	388
130	18.0001	18.0001	18.0001	0	0	391
131	18.0001	18.0001	18.0001	0	0	394
132	18.0001	18.0001	18.0001	0	0	397
133	18.0001	18.0001	18.0001	0	0	400
134	18.0001	18.0001	18.0001	0	0	403
135	18.0001	18.0001	18.0001	0	0	406
136	18.0001	18.0001	18.0001	0	0	409
137	18.0001	18.0001	18.0001	0	0	412
138	18.0001	18.0001	18.0001	0	0	415
139	18.0001	18.0001	18.0001	0	0	418
