#Gen	 maxScore	 numeval
0	2.72	0
20	5.44	512512
40	7.3	512512
60	7.3	512512
80	7.3	512512
100	7.3	512512
120	7.3	512512
140	7.3	512512
160	7.3	512512
180	7.3	512512
200	7.3	512512
220	7.3	512512
240	7.3	512512
260	7.3	512512
280	7.3	512512
300	7.3	512512
320	7.3	512512
340	7.3	512512
360	7.3	512512
380	7.3	512512
400	7.3	512512
420	7.3	512512
440	7.3	512512
460	7.3	512512
480	7.3	512512
500	7.3	512512
520	7.3	512512
540	7.3	512512
560	7.3	512512
580	7.3	512512
600	7.3	512512
620	7.3	512512
640	7.3	512512
660	7.3	512512
680	7.3	512512
700	7.3	512512
720	7.3	512512
740	7.3	512512
760	7.3	512512
780	7.3	512512
800	7.3	512512
820	7.3	512512
840	7.3	512512
860	7.3	512512
880	7.3	512512
900	7.3	512512
920	7.3	512512
940	7.3	512512
960	7.3	512512
980	7.3	512512
1000	7.3	512512
1020	7.3	512512
1040	7.3	512512
1060	7.3	512512
1080	7.3	512512
1100	7.3	512512
1120	7.3	512512
1140	7.3	512512
1160	7.3	512512
1180	7.3	512512
1200	7.3	512512
1220	7.3	512512
1240	7.3	512512
1260	7.3	512512
1280	7.3	512512
1300	7.3	512512
1320	7.3	512512
1340	7.3	512512
1360	7.3	512512
1380	7.3	512512
1400	7.3	512512
1420	7.3	512512
1440	7.3	512512
1460	7.3	512512
1480	7.3	512512
1500	7.3	512512
1520	7.3	512512
1540	7.3	512512
1560	7.3	512512
1580	7.3	512512
1600	7.3	512512
1620	7.3	512512
1640	7.3	512512
1660	7.3	512512
1680	7.3	512512
1700	7.3	512512
1720	7.3	512512
1740	7.3	512512
1760	7.3	512512
1780	7.3	512512
1800	7.3	512512
1820	7.3	512512
1840	7.3	512512
1860	7.3	512512
1880	7.3	512512
1900	7.3	512512
1920	7.3	512512
1940	7.3	512512
1960	7.3	512512
1980	7.3	512512
2000	7.3	512512
2020	7.3	1024512
2040	7.3	1024512
2060	7.3	1024512
2080	7.3	1024512
2100	7.3	1024512
2120	7.3	1024512
2140	7.3	1024512
2160	7.3	1024512
2180	7.3	1024512
2200	7.3	1024512
2220	7.3	1024512
2240	7.3	1024512
2260	7.3	1024512
2280	7.3	1024512
2300	7.3	1024512
2320	7.3	1024512
2340	7.3	1024512
2360	7.3	1024512
2380	7.3	1024512
2400	7.3	1024512
2420	7.3	1024512
2440	7.3	1024512
2460	7.3	1024512
2480	7.3	1024512
2500	7.3	1024512
2520	7.3	1024512
2540	7.3	1024512
2560	7.3	1024512
2580	7.3	1024512
2600	7.3	1024512
2620	7.3	1024512
2640	7.3	1024512
2660	7.3	1024512
2680	7.3	1024512
2700	7.3	1024512
2720	7.3	1024512
2740	7.3	1024512
2760	7.3	1024512
2780	7.3	1024512
2800	7.3	1024512
2820	7.3	1024512
2840	7.3	1024512
2860	7.3	1024512
2880	7.3	1024512
2900	7.3	1024512
2920	7.3	1024512
2940	7.3	1024512
2960	7.3	1024512
2980	7.3	1024512
3000	7.3	1024512
3020	7.3	1024512
3040	7.3	1024512
3060	7.3	1024512
3080	7.3	1024512
3100	7.3	1024512
3120	7.3	1024512
3140	7.3	1024512
3160	7.3	1024512
3180	7.3	1024512
3200	7.3	1024512
3220	7.3	1024512
3240	7.3	1024512
3260	7.3	1024512
3280	7.3	1024512
3300	7.3	1024512
3320	7.3	1024512
3340	7.3	1024512
3360	7.3	1024512
3380	7.3	1024512
3400	7.3	1024512
3420	7.3	1024512
3440	7.3	1024512
3460	7.3	1024512
3480	7.3	1024512
3500	7.3	1024512
3520	7.3	1024512
3540	7.3	1024512
3560	7.3	1024512
3580	7.3	1024512
3600	7.3	1024512
3620	7.3	1024512
3640	7.3	1024512
3660	7.3	1024512
3680	7.3	1024512
3700	7.3	1024512
3720	7.3	1024512
3740	7.3	1024512
3760	7.3	1024512
3780	7.3	1024512
3800	7.3	1024512
3820	7.3	1024512
3840	7.3	1024512
3860	7.3	1024512
3880	7.3	1024512
3900	7.3	1024512
3920	7.3	1024512
3940	7.3	1024512
3960	7.3	1024512
3980	7.3	1024512
4000	7.3	1024512
4020	7.3	1536512
4040	7.3	1536512
4060	7.3	1536512
4080	7.3	1536512
4100	7.3	1536512
